"filename", "language", "TOML", "OpenGL Shading Language", "Rust", "Markdown", "Python", "JSON", "comment", "blank", "total"
"/home/idra/GitHub/transfer-window/src/systems/icon_system.rs", "Rust", 0, 0, 13, 0, 0, 0, 0, 4, 17
"/home/idra/GitHub/transfer-window/src/systems/icon_system/burn_icon_cleanup.rs", "Rust", 0, 0, 20, 0, 0, 0, 0, 4, 24
"/home/idra/GitHub/transfer-window/src/systems/icon_system/icon_click.rs", "Rust", 0, 0, 68, 0, 0, 0, 1, 10, 79
"/home/idra/GitHub/transfer-window/src/systems/icon_system/icon_click/burn_arrow_icon.rs", "Rust", 0, 0, 17, 0, 0, 0, 2, 5, 24
"/home/idra/GitHub/transfer-window/src/systems/icon_system/icon_click/burn_icon.rs", "Rust", 0, 0, 36, 0, 0, 0, 3, 9, 48
"/home/idra/GitHub/transfer-window/src/systems/icon_system/icon_click/object_icon.rs", "Rust", 0, 0, 24, 0, 0, 0, 4, 6, 34
"/home/idra/GitHub/transfer-window/src/systems/icon_system/icon_position.rs", "Rust", 0, 0, 16, 0, 0, 0, 0, 4, 20
"/home/idra/GitHub/transfer-window/src/systems/icon_system/icon_position/burn_arrow_icon.rs", "Rust", 0, 0, 9, 0, 0, 0, 0, 2, 11
"/home/idra/GitHub/transfer-window/src/systems/icon_system/icon_position/burn_icon.rs", "Rust", 0, 0, 8, 0, 0, 0, 0, 2, 10
"/home/idra/GitHub/transfer-window/src/systems/icon_system/icon_position/object_icon.rs", "Rust", 0, 0, 6, 0, 0, 0, 0, 1, 7
"/home/idra/GitHub/transfer-window/src/systems/icon_system/icon_precedence.rs", "Rust", 0, 0, 58, 0, 0, 0, 6, 8, 72
"/home/idra/GitHub/transfer-window/src/systems/mouse_over_any_element_system.rs", "Rust", 0, 0, 6, 0, 0, 0, 0, 1, 7
"/home/idra/GitHub/transfer-window/src/systems/orbit_point_selection_system.rs", "Rust", 0, 0, 150, 0, 0, 0, 0, 17, 167
"/home/idra/GitHub/transfer-window/src/systems/time_step_update_system.rs", "Rust", 0, 0, 49, 0, 0, 0, 0, 10, 59
"/home/idra/GitHub/transfer-window/src/systems/toolbar_system.rs", "Rust", 0, 0, 24, 0, 0, 0, 0, 6, 30
"/home/idra/GitHub/transfer-window/src/systems/toolbar_system/burn_toolbar.rs", "Rust", 0, 0, 49, 0, 0, 0, 0, 14, 63
"/home/idra/GitHub/transfer-window/src/systems/toolbar_system/orbit_click_point_toolbar.rs", "Rust", 0, 0, 60, 0, 0, 0, 0, 16, 76
"/home/idra/GitHub/transfer-window/src/systems/trajectory_prediction_system.rs", "Rust", 0, 0, 3, 0, 0, 0, 0, 0, 3
"/home/idra/GitHub/transfer-window/src/systems/trajectory_prediction_system/celestial_body_prediction.rs", "Rust", 0, 0, 52, 0, 0, 0, 8, 9, 69
"/home/idra/GitHub/transfer-window/src/systems/trajectory_prediction_system/spacecraft_prediction.rs", "Rust", 0, 0, 69, 0, 0, 0, 1, 13, 83
"/home/idra/GitHub/transfer-window/src/systems/trajectory_prediction_system/util.rs", "Rust", 0, 0, 64, 0, 0, 0, 10, 11, 85
"/home/idra/GitHub/transfer-window/src/systems/trajectory_update_system.rs", "Rust", 0, 0, 11, 0, 0, 0, 0, 2, 13
"/home/idra/GitHub/transfer-window/src/systems/underlay_render_system.rs", "Rust", 0, 0, 39, 0, 0, 0, 0, 7, 46
"/home/idra/GitHub/transfer-window/src/systems/underlay_render_system/render_icons.rs", "Rust", 0, 0, 28, 0, 0, 0, 0, 4, 32
"/home/idra/GitHub/transfer-window/src/systems/underlay_render_system/render_object.rs", "Rust", 0, 0, 30, 0, 0, 0, 0, 5, 35
"/home/idra/GitHub/transfer-window/src/systems/underlay_render_system/render_segment.rs", "Rust", 0, 0, 23, 0, 0, 0, 0, 4, 27
"/home/idra/GitHub/transfer-window/src/systems/underlay_render_system/render_segment/render_burn.rs", "Rust", 0, 0, 40, 0, 0, 0, 1, 6, 47
"/home/idra/GitHub/transfer-window/src/systems/underlay_render_system/render_segment/render_orbit.rs", "Rust", 0, 0, 72, 0, 0, 0, 91, 15, 178
"/home/idra/GitHub/transfer-window/src/systems/underlay_render_system/render_segment/util.rs", "Rust", 0, 0, 25, 0, 0, 0, 1, 9, 35
"/home/idra/GitHub/transfer-window/src/systems/underlay_render_system/render_segment/visual_segment_point.rs", "Rust", 0, 0, 32, 0, 0, 0, 0, 7, 39
"/home/idra/GitHub/transfer-window/src/systems/util.rs", "Rust", 0, 0, 119, 0, 0, 0, 21, 15, 155
"/home/idra/GitHub/transfer-window/src/systems/warp_update_system.rs", "Rust", 0, 0, 54, 0, 0, 0, 4, 10, 68
"/home/idra/GitHub/transfer-window/src/util.rs", "Rust", 0, 0, 44, 0, 0, 0, 0, 7, 51
"Total", "-", 3100, 47, 3808, 83, 70, 1, 198, 1066, 8373
